Ano,Código da IES,Nome da IES,Sigla da IES,Organização Acadêmica,Categoria Administrativa,Código do Curso,Código da Área,Área de Enquadramento,Modalidade de Ensino,Código do Município,Município do Curso,Sigla da UF,Concluintes Inscritos,Concluintes Participantes,Nota Bruta - FG,Nota Padronizada - FG,Nota Bruta - CE,Nota Padronizada - CE,Conceito Enade (Contínuo),Conceito Enade (Faixa)
2016,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pessoa Jurídica de Direito Público - Federal,12,12,MEDICINA,Educação Presencial,5103403,CUIABÁ,MT,35,33,63.1667,3.4732,68.5061,2.7593,2.9378,3
2016,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pessoa Jurídica de Direito Público - Federal,140,12,MEDICINA,Educação Presencial,5300108,BRASÍLIA,DF,89,85,63.0059,3.4368,68.9306,2.8415,2.9903,4
2016,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pessoa Jurídica de Direito Público - Federal,303,12,MEDICINA,Educação Presencial,2800308,ARACAJU,SE,53,53,59.4943,2.6431,67.9868,2.6588,2.6549,3
2016,4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Pessoa Jurídica de Direito Público - Federal,389,12,MEDICINA,Educação Presencial,1302603,MANAUS,AM,36,35,66.7086,4.2738,66.1286,2.2992,2.7929,3
2016,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Universidade,Pessoa Jurídica de Direito Público - Federal,484,12,MEDICINA,Educação Presencial,2211001,TERESINA,PI,45,45,63.4333,3.5335,72.6711,3.5654,3.5574,4
2016,9,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Universidade,Pessoa Jurídica de Direito Público - Estadual,758,12,MEDICINA,Educação Presencial,4113700,LONDRINA,PR,86,86,63.7965,3.6155,70.0907,3.0660,3.2034,4
2016,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Universidade,Privada sem fins lucrativos,868,12,MEDICINA,Educação Presencial,4106902,CURITIBA,PR,165,164,64.3073,3.7310,73.0866,3.6458,3.6671,4
2016,12,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,Universidade,Pessoa Jurídica de Direito Público - Federal,1026,12,MEDICINA,Educação Presencial,4315602,RIO GRANDE,RS,63,63,60.8762,2.9554,67.1032,2.4878,2.6047,3
2016,13,UNIVERSIDADE DE CAXIAS DO SUL,UCS,Universidade,Privada sem fins lucrativos,1107,12,MEDICINA,Educação Presencial,4305108,CAXIAS DO SUL,RS,77,77,61.6416,3.1284,69.2961,2.9122,2.9663,4
2016,17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Universidade,Pessoa Jurídica de Direito Público - Federal,1439,12,MEDICINA,Educação Presencial,3170206,UBERLÂNDIA,MG,87,87,64.6494,3.8083,67.7598,2.6149,2.9133,3
