Nome da IES,Sigla da IES,Organização Acadêmica,Categoria Administrativa,Código do Curso,Modalidade de Ensino,Código do Município,Município do Curso,Sigla da UF,Nº de Concluintes Inscritos,Nº  de Concluintes Participantes,Nota Bruta - FG,Nota Padronizada - FG,Nota Bruta - CE,Nota Padronizada - CE,Conceito Enade (Contínuo),Conceito Enade (Faixa),Observação,,,
2019,12,MEDICINA,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,12,Educação Presencial,5103403,Cuiabá,MT,31,31,54.5194,3.1831,69.3355,4.6887,4.3123,5
2019,12,MEDICINA,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,1261971,Educação Presencial,5107602,Rondonópolis,MT,26,26,53.9692,3.0751,69.8654,4.8182,4.3825,5
2019,12,MEDICINA,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,1261972,Educação Presencial,5107909,Sinop,MT,45,45,52.1533,2.7186,65.8378,3.8333,3.5546,4
2019,12,MEDICINA,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,140,Educação Presencial,5300108,Brasília,DF,79,71,63.7732,5,63.9042,3.3604,3.7703,4
2019,12,MEDICINA,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pública Federal,303,Educação Presencial,2800308,Aracaju,SE,55,54,58.6963,4.0032,64.2093,3.435,3.5771,4
2019,12,MEDICINA,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pública Federal,1108153,Educação Presencial,2803500,Lagarto,SE,43,43,57.6419,3.7962,64.5814,3.526,3.5936,4
2019,12,MEDICINA,4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Pública Federal,389,Educação Presencial,1302603,Manaus,AM,111,111,54.5333,3.1859,59.1036,2.1864,2.4363,3
2019,12,MEDICINA,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Universidade,Pública Federal,484,Educação Presencial,2211001,Teresina,PI,85,83,60.6012,4.3772,65.294,3.7003,3.8695,4
2019,12,MEDICINA,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Universidade,Pública Federal,1202553,Educação Presencial,2207702,Parnaíba,PI,38,37,56.1595,3.5051,67.6351,4.2728,4.0809,5
2019,12,MEDICINA,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,Universidade,Pública Federal,103596,Educação Presencial,3146107,Ouro Preto,MG,86,84,58.5798,3.9803,64.7083,3.5571,3.6629,4
2019,12,MEDICINA,7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,Universidade,Pública Federal,90091,Educação Presencial,3548906,São Carlos,SP,35,35,52.0714,2.7025,69.0171,4.6108,4.1337,5
2019,12,MEDICINA,8,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Universidade,Pública Federal,1068548,Educação Presencial,3171303,Viçosa,MG,35,35,55.9314,3.4604,70.6086,5,4.6151,5
2019,12,MEDICINA,9,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Universidade,Pública Estadual,758,Educação Presencial,4113700,Londrina,PR,68,68,56.4721,3.5665,65.6059,3.7766,3.724,4
2019,12,MEDICINA,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Universidade,Privada sem fins lucrativos,868,Educação Presencial,4106902,Curitiba,PR,191,186,60.679,4.3925,64.4151,3.4853,3.7121,4
2019,12,MEDICINA,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Universidade,Privada sem fins lucrativos,1059179,Educação Presencial,4113700,Londrina,PR,58,58,58.1017,3.8865,63.3259,3.219,3.3858,4
2019,12,MEDICINA,11,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,Universidade,Privada sem fins lucrativos,1200712,Educação Presencial,2611606,Recife,PE,45,45,58.0822,3.8826,63.2133,3.1914,3.3642,4
2019,12,MEDICINA,12,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,Universidade,Pública Federal,1026,Educação Presencial,4315602,Rio Grande,RS,77,77,51.787,2.6467,60.5026,2.5285,2.5581,3
2019,12,MEDICINA,13,UNIVERSIDADE DE CAXIAS DO SUL,UCS,Universidade,Privada sem fins lucrativos,1107,Educação Presencial,4305108,Caxias do Sul,RS,97,94,48.6734,2.0354,63.7234,3.3162,2.996,4
2019,12,MEDICINA,17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Universidade,Pública Federal,1439,Educação Presencial,3170206,Uberlândia,MG,78,78,57.9436,3.8554,65.6397,3.7848,3.8025,4
2019,12,MEDICINA,18,UNIVERSIDADE CATÓLICA DE PELOTAS,UCPEL,Universidade,Privada sem fins lucrativos,1518,Educação Presencial,4314407,Pelotas,RS,91,91,47.367,1.7789,61.0374,2.6593,2.4392,3
2019,12,MEDICINA,19,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Universidade,Privada sem fins lucrativos,1629,Educação Presencial,3509502,Campinas,SP,123,122,54.9844,3.2744,60.818,2.6057,2.7728,3
2019,12,MEDICINA,20,UNIVERSIDADE DE PASSO FUNDO,UPF,Universidade,Privada sem fins lucrativos,1725,Educação Presencial,4314100,Passo Fundo,RS,122,122,51.6336,2.6166,63.0262,3.1457,3.0134,4
2019,12,MEDICINA,21,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,Universidade,Privada sem fins lucrativos,1879,Educação Presencial,4314902,Porto Alegre,RS,79,79,57.6215,3.7922,69.7177,4.7821,4.5347,5
2019,12,MEDICINA,24,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,Universidade,Pública Estadual,49910,Educação Presencial,2913606,Ilhéus,BA,36,35,55.2171,3.3201,62.06,2.9094,3.0121,4
2019,12,MEDICINA,29,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,Universidade,Pública Estadual,66248,Educação Presencial,2304400,Fortaleza,CE,34,28,60.0393,4.2669,65.0571,3.6424,3.7985,4
2019,12,MEDICINA,30,UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO,UNIFENAS,Universidade,Privada sem fins lucrativos,2304,Educação Presencial,3101607,Alfenas,MG,166,164,49.2079,2.1403,58.6878,2.0847,2.0986,3
2019,12,MEDICINA,30,UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO,UNIFENAS,Universidade,Privada sem fins lucrativos,64918,Educação Presencial,3106200,Belo Horizonte,MG,129,128,49.4891,2.1955,62.3305,2.9755,2.7805,3
2019,12,MEDICINA,32,UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL,UNCISAL,Universidade,Pública Estadual,2348,Educação Presencial,2704302,Maceió,AL,46,46,56.1783,3.5088,60.3043,2.48,2.7372,3
2019,12,MEDICINA,40,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Universidade,Pública Estadual,1187646,Educação Presencial,2927408,Salvador,BA,83,79,56.5228,3.5765,61.5241,2.7783,2.9779,4
2019,12,MEDICINA,54,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Universidade,Pública Estadual,2695,Educação Presencial,3509502,Campinas,SP,123,123,54.9073,3.2593,66.3967,3.97,3.7923,4
2019,12,MEDICINA,56,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Universidade,Pública Estadual,3148,Educação Presencial,3507506,Botucatu,SP,87,87,58.1138,3.8888,67.6989,4.2884,4.1885,5
2019,12,MEDICINA,57,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Universidade,Pública Estadual,3418,Educação Presencial,4115200,Maringá,PR,37,36,54.5528,3.1897,68.5417,4.4945,4.1683,5
2019,12,MEDICINA,71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,Universidade,Pública Estadual,72417,Educação Presencial,2408003,Mossoró,RN,56,56,48.2839,1.9589,57.7839,1.8636,1.8875,2
