Ano;Código da Área;Área de Avaliação;Grau Acadêmico;Código da IES;Nome da IES*;Sigla da IES*;Organização Acadêmica;Categoria Administrativa;Código do Curso;Código do Município;Município do Curso;Sigla da UF;Nº de Concluintes Inscritos;Nº  de Concluintes Participantes;Total de Concluintes Participantes Igual ou Acima da Proficiência;Percentual de Concluintes Participantes Igual ou Acima da Proficiência ;Conceito Enade (Faixa)
2025;12;MEDICINA;Bacharelado;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pública Federal;1261972;5107909;Sinop;MT;59;58;52;89,7%;4
2025;12;MEDICINA;Bacharelado;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pública Federal;12;5103403;Cuiabá;MT;76;75;64;85,3%;4
2025;12;MEDICINA;Bacharelado;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pública Federal;140;5300108;Brasília;DF;102;99;87;87,9%;4
2025;12;MEDICINA;Bacharelado;3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Universidade;Pública Federal;1108153;2803500;Lagarto;SE;59;59;56;94,9%;5
2025;12;MEDICINA;Bacharelado;3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Universidade;Pública Federal;303;2800308;Aracaju;SE;48;47;44;93,6%;5
2025;12;MEDICINA;Bacharelado;4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Universidade;Pública Federal;389;1302603;Manaus;AM;115;115;72;62,6%;3
2025;12;MEDICINA;Bacharelado;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Universidade;Pública Federal;1342610;2208007;Picos;PI;25;21;16;76,2%;4
2025;12;MEDICINA;Bacharelado;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Universidade;Pública Federal;484;2211001;Teresina;PI;28;28;24;85,7%;4
2025;12;MEDICINA;Bacharelado;6;UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;Universidade;Pública Federal;103596;3146107;Ouro Preto;MG;81;80;73;91,3%;5
2025;12;MEDICINA;Bacharelado;7;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;Universidade;Pública Federal;90091;3548906;São Carlos;SP;38;38;38;100,0%;5
2025;12;MEDICINA;Bacharelado;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;Universidade;Pública Federal;1068548;3171303;Viçosa;MG;51;51;50;98,0%;5
2025;12;MEDICINA;Bacharelado;9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Universidade;Pública Estadual;758;4113700;Londrina;PR;82;82;70;85,4%;4
